name,x,y
7521619363,-3.6012437,55.9768394
7552023854,-3.6007245,55.9744779
75632172,-3.6138872,55.9838123
75632175,-3.6137293,55.9835365
75632252,-3.6141545,55.975726
75632264,-3.6163371,55.9754463
75632270,-3.6178857,55.9754499
75632307,-3.6270519,55.9760652
75632310,-3.6288571,55.9761718
7604954373,-3.6256689,55.9754244
7711200217,-3.5822229,55.9834136
7843127560,-3.6102054,55.9746897
7843127561,-3.6102467,55.9748456
7853241881,-3.5960112,55.9771484
7853241886,-3.5953701,55.9767356
7853241946,-3.5913083,55.9775358
7853241947,-3.5915663,55.9776037
7865913823,-3.6154756,55.9759654
7865913824,-3.6153086,55.975521
7865913847,-3.6227444,55.9761906
7896352527,-3.6124393,55.9757372
7904768312,-3.619503,55.9753623
7916302488,-3.6006436,55.9721629
7937180598,-3.6012386,55.9674606
7937180599,-3.6013642,55.9673383
7937180600,-3.5999874,55.9668532
7937180601,-3.5996758,55.9667654
807926254,-3.6279559,55.9746289
8184632855,-3.5988045,55.9745364
8184632857,-3.5988057,55.9744043
8184632858,-3.5989068,55.9745565
8184916874,-3.6013551,55.9752392
8409091203,-3.6201318,55.9728143
863278826,-3.5825845,55.982317
863278832,-3.5837659,55.9820369
863280283,-3.5874003,55.9806364
863280284,-3.5863751,55.9804087
863280666,-3.5848321,55.9802382
863280667,-3.5842189,55.9801598
863280669,-3.5832735,55.9800581
863280951,-3.5874265,55.9810027
863281008,-3.587505,55.9804113
863281117,-3.5862757,55.9796101
863281188,-3.5853102,55.9796932
863281328,-3.5841415,55.9795692
863282277,-3.5863813,55.9815741
863282576,-3.5851145,55.9816489
863282875,-3.5833753,55.9811137
863283304,-3.5837577,55.978949
863283547,-3.5816776,55.9796739
863283549,-3.5815945,55.9792011
863283554,-3.5814887,55.9788762
863283871,-3.5825963,55.9797132
863284431,-3.5820856,55.9790283
863287125,-3.5890522,55.9790876
863287991,-3.591518,55.9788264
863288180,-3.5904977,55.9797101
863288190,-3.5897362,55.9799914
863288389,-3.5912597,55.9796493
863288643,-3.5904657,55.9779278
863288689,-3.5910927,55.9781097
863289064,-3.5888727,55.9800545
863289067,-3.5889986,55.9793594
863289336,-3.5880839,55.9788149
863289411,-3.589059,55.9800715
863289416,-3.5872583,55.9792154
863289460,-3.5882127,55.9793071
863290688,-3.5933947,55.9778184
863290868,-3.5915194,55.9775
863290939,-3.5927402,55.9780405
863291317,-3.5915939,55.9767097
863291410,-3.5922602,55.9762223
863291625,-3.5893622,55.9765836
863291849,-3.5889105,55.9765872
863291861,-3.5912525,55.976284
863296362,-3.5971728,55.9743906
863296554,-3.5978855,55.9743498
863296564,-3.5985994,55.9738181
863300334,-3.5947573,55.9701099
863300481,-3.5951113,55.9707643
863300981,-3.5966241,55.9714368
863301199,-3.5964846,55.9708003
863301406,-3.5965362,55.9700251
863303288,-3.5972143,55.9674239
863303607,-3.6001618,55.9687562
863304607,-3.599392,55.969436
863340675,-3.6255901,55.9715061
863341185,-3.6249703,55.9718994
863341749,-3.6245392,55.9737957
863342268,-3.6259662,55.9737236
863342584,-3.6274062,55.9735427
863343393,-3.6260355,55.9728752
863343439,-3.6256877,55.9721261
863343724,-3.6257845,55.9727816
863346017,-3.6083755,55.9766975
863354313,-3.6124468,55.9772817
863354329,-3.6124371,55.9775898
863354340,-3.6122201,55.9779765
863354605,-3.6133313,55.9767948
863355025,-3.6128341,55.9766413
863355034,-3.6141001,55.9771695
863356411,-3.6146824,55.9777863
863357711,-3.6130112,55.9751683
863358063,-3.6125473,55.9749745
863358079,-3.6115014,55.9748142
863358592,-3.6119328,55.9751945
863360514,-3.609093,55.9751335
863362246,-3.6071579,55.9749195
863371062,-3.6115622,55.9735691
863371712,-3.611517,55.9739128
863372585,-3.608798,55.9721438
863373591,-3.6091977,55.972501
863380318,-3.6258892,55.9760168
863381150,-3.6255204,55.976694
863382484,-3.6219577,55.9764876
863382486,-3.6221135,55.9762625
863383230,-3.6218378,55.9758333
863385431,-3.6179828,55.9749051
863385918,-3.6138679,55.9750615
863385922,-3.6138084,55.9748796
863387612,-3.6269903,55.9746229
863387614,-3.6260487,55.9746289
863387616,-3.6249947,55.9746229
863387986,-3.6275589,55.9750071
863388430,-3.6247976,55.9751494
863388436,-3.624938,55.9754922
863389466,-3.6288246,55.9753327
863390293,-3.6292852,55.9752047
863390465,-3.6290542,55.9749006
863390466,-3.6289107,55.974701
863390544,-3.6296617,55.974767
863392345,-3.629415,55.976598
863392638,-3.6292138,55.977683
863392866,-3.6292326,55.9782068
863393261,-3.628619,55.978921
863393266,-3.6289644,55.9789091
863393268,-3.6293828,55.9789932
863393270,-3.6298978,55.9790712
863393424,-3.6287069,55.9785249
863393589,-3.6297261,55.978615
863393929,-3.6288571,55.9794374
863393940,-3.6278056,55.9794374
863394302,-3.6295115,55.9795994
863394366,-3.6270445,55.9796203
863395379,-3.6299836,55.9798816
863398069,-3.6263513,55.9802958
863398534,-3.6292986,55.9808857
863398689,-3.6290665,55.9815089
863398693,-3.6289214,55.9818984
863398827,-3.6282992,55.9814302
863399123,-3.6291716,55.9819322
863399125,-3.6275589,55.9817603
863399128,-3.6268401,55.9816643
863399361,-3.6265933,55.9821985
863399369,-3.6267542,55.9818264
863399543,-3.626883,55.9815442
863400534,-3.6255606,55.9796317
863400719,-3.6234782,55.9799902
863401384,-3.6254738,55.980006
863401606,-3.6274408,55.9792212
863401864,-3.6260107,55.9790169
863401873,-3.6238178,55.9791725
863402256,-3.625971,55.9792873
863402420,-3.6285605,55.9777667
863403257,-3.627237,55.9778466
863403264,-3.6268692,55.9783327
863404000,-3.6253917,55.9779187
863404289,-3.6251448,55.9779011
863404293,-3.6246299,55.9778646
863404435,-3.6250913,55.9781168
863404873,-3.6276559,55.9768527
863404878,-3.6263743,55.9767022
863404997,-3.6278031,55.9764777
863405139,-3.6264516,55.9764124
863405141,-3.6262071,55.9772763
8856171269,-3.5844108,55.9653032
885842628,-3.598255,55.9708305
8993552625,-3.6009543,55.9781452
9452529379,-3.6130199,55.9753062
9554344873,-3.6088736,55.9681999
9554344877,-3.6106951,55.9676781
9554344885,-3.6144027,55.9673198
9554344887,-3.6135418,55.9668367
9785409376,-3.6034822,55.9704811
